  0.1000D+00  0.5000D-06
 18.0000  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.144000000   0.144000000   0.144000000
   0.005000000   0.005000000   0.005000000
   0.118596593   0.118596593   0.118596593
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
   0.001000041   0.001000041   0.001000041
   0.000000273   0.000000273   0.000000273
   0.010000000   0.010000000   0.010000000
  0.1000D+00  0.5000D-06
  0.0000  0.0000  0.0000
 18.0000  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.144000000   0.144000000   0.144000000
   0.005000000   0.005000000   0.005000000
   0.118596593   0.118596593   0.118596593
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
   0.001000041   0.001000041   0.001000041
   0.000000273   0.000000273   0.000000273
   0.010000000   0.010000000   0.010000000
  0.1000D+00  0.5000D-06
  0.0000  0.0000  0.0000
 18.0000  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.144000000   0.144000000   0.144000000
   0.005000000   0.005000000   0.005000000
   0.118596593   0.118596593   0.118596593
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
   0.001000041   0.001000041   0.001000041
   0.000000273   0.000000273   0.000000273
   0.010000000   0.010000000   0.010000000
  0.1000D+00  0.5000D-06
  0.0000  0.0000  0.0000
 18.0000  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.144000000   0.144000000   0.144000000
   0.005000000   0.005000000   0.005000000
   0.118596593   0.118596593   0.118596593
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
   0.001000041   0.001000041   0.001000041
   0.000000273   0.000000273   0.000000273
   0.010000000   0.010000000   0.010000000
  0.1000D+00  0.5000D-06
  0.0000  0.0000  0.0000
 18.0000  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.144000000   0.144000000   0.144000000
   0.005000000   0.005000000   0.005000000
   0.118596593   0.118596593   0.118596593
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
   0.001000041   0.001000041   0.001000041
   0.000000273   0.000000273   0.000000273
   0.010000000   0.010000000   0.010000000
  0.1000D+00  0.5000D-06
  0.0000  0.0000  0.0000
 18.0000  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.144000000   0.144000000   0.144000000
   0.005000000   0.005000000   0.005000000
   0.118596593   0.118596593   0.118596593
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
   0.001000041   0.001000041   0.001000041
   0.000000273   0.000000273   0.000000273
   0.010000000   0.010000000   0.010000000
  0.1000D+00  0.5000D-06
  0.0000  0.0000  0.0000
 18.0000  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.144000000   0.144000000   0.144000000
   0.005000000   0.005000000   0.005000000
   0.118596593   0.118596593   0.118596593
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
   0.001000041   0.001000041   0.001000041
   0.000000273   0.000000273   0.000000273
   0.010000000   0.010000000   0.010000000
  0.1000D+00  0.5000D-06
  0.0000  0.0000  0.0000
 18.0000  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.144000000   0.144000000   0.144000000
   0.005000000   0.005000000   0.005000000
   0.118596593   0.118596593   0.118596593
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
   0.001000041   0.001000041   0.001000041
   0.000000273   0.000000273   0.000000273
   0.010000000   0.010000000   0.010000000
